pair,correlation,eg_statistic,eg_pvalue,cointegrated,hedge_ratio,adf_statistic,adf_pvalue,spread_stationary,half_life,hurst,mean_reverting,spread_mean,spread_std,score
RUN/PBW,0.9402468917259788,-4.07403293395089,0.005615718602551162,True,0.7348099844700569,-4.073338210431708,0.0010716113558117812,True,103.16178749493248,0.463899355181124,True,-4.69826988156742,5.708084274552566,80.0
NEE/CWEN,0.9478624450112714,-4.274444910164387,0.002805493838431151,True,2.6480660345043887,-4.273708087018448,0.0004931586667699494,True,63.98060466769479,0.33742739744193934,True,2.249452386269508,6.40860680980112,80.0
PLUG/RUN,0.8717698244628637,-3.9956818811476205,0.007283763696753753,True,0.6209171665847784,-3.994839181745573,0.0014377772098639091,True,97.98117769527985,0.48112846586889924,True,-3.207449056064228,5.849716263275025,80.0
CWEN/NEE,0.9478624450112713,-4.200333037419914,0.0036435921377222713,True,0.33928278334301293,-4.199595118652429,0.0006599407899762099,True,63.68246438793199,0.3459091034697152,True,1.05359117562513,2.293929849446094,80.0
PSX/SHEL,0.917288764260923,-3.684723908264197,0.019170537442253107,True,1.9617273911694935,-3.6841525130730077,0.004341666367234348,True,117.87981269027054,0.45851407330605304,True,-8.34213872162208,9.69078029091399,60.0
COP/VLO,0.951158545424909,-3.5714558420076785,0.026565189042325937,True,0.8078919035311012,-3.5711911820218187,0.006336285791804882,True,66.9128896066703,0.45960806777013863,True,0.09075188906566603,8.8846892590262,60.0
VLO/COP,0.9511585454249089,-3.719545584722259,0.01729168114988282,True,1.1198312231878935,-3.719347957203257,0.003849093575533786,True,99.0500288066,0.4625971824116422,True,6.918435711974608,10.460246074049614,60.0
PLUG/SEDG,0.8348982213567024,-3.7073468629589867,0.017930670176210965,True,0.087790236087344,-3.7065311390731353,0.004022220083224043,True,93.80656478318707,0.4777803716605267,True,-1.386390449371772,6.487780356598369,60.0
BE/QCLN,0.6968776122403393,-3.5181044678615936,0.03082386211378346,True,0.2903695320342612,-3.5172759396227256,0.007554339367563332,True,88.32259669958975,0.3806352340875287,True,4.620274385196452,5.279927922438533,50.0
BE/ICLN,0.6630785422465262,-3.397081651446777,0.042675644555963746,True,0.9504080129666175,-3.396240362117539,0.011087707049498087,True,61.77006477682344,0.38206047275466093,True,2.110966843739281,5.510797376094112,50.0
BE/TAN,0.6734113311172292,-3.3840453126469296,0.044153707636531724,True,0.20077254490580604,-3.3831850938336845,0.011545622212265126,True,111.94227552859772,0.3786871948018358,True,5.82942534420298,5.442464894045477,50.0
BE/ACES,0.6940722637380009,-3.280601108826521,0.05745068585955734,False,0.2986350458095328,-3.2797385597253155,0.01580881376575577,True,86.7453655368369,0.38576645450800884,True,3.979358719515106,5.299917629390558,40.0
QCLN/BEP,0.9527283117110303,-3.3097488119900573,0.05341005262089416,False,2.0746884423558285,-3.3089012919295198,0.014485244931360568,True,149.1986658303938,0.4142571012737881,True,-6.677706970975284,5.7133797056241775,40.0
ICLN/AES,0.9123654000924868,-2.9136806853921073,0.13217513503012174,False,0.9450644688421199,-2.9130997836636237,0.04384573999113037,True,96.48586438657638,0.486142382101969,True,-0.21027918481321622,2.225884550416394,30.0
